"Theta [deg]","dB(GainTotal) [] - Freq='2.45GHz' Phi='-90.0000000000002deg'"
0,-19.909108975154
2,-19.5899244305239
4,-19.3155465393153
6,-19.1743375566478
8,-19.1854893542513
10,-19.2813997084681
12,-19.3414054510086
14,-19.275534464734
16,-19.1147993103919
18,-19.0101185268968
20,-19.0975865907796
22,-19.3405992783756
24,-19.5062601902669
26,-19.3605145745285
28,-18.9260856198504
30,-18.4478877362157
32,-18.1153553638096
34,-17.9496456742798
36,-17.9412633817653
38,-18.1434251935523
40,-18.5678977967156
42,-19.0941988651969
44,-19.5506658396075
46,-19.869527813071
48,-20.0690234277489
50,-20.0839814752617
52,-19.8813429877234
54,-19.7612688983892
56,-20.0423931096247
58,-20.5829511829112
60,-21.0745973571124
62,-21.6389672418687
64,-22.403910332401
66,-23.0863589896986
68,-23.6148203247764
70,-24.3848554536167
72,-25.6449264464846
74,-27.0815366016742
76,-28.1026193453908
78,-29.076084916746
80,-30.8734576548702
82,-32.9200396290322
84,-33.425118725982
86,-33.8610381267958
88,-36.1180243758417
90,-39.0623818806833
92,-38.8245805844133
94,-38.8160497976262
96,-41.5610907904985
98,-43.6871946145913
100,-41.1486526628618
102,-40.5774262781317
104,-42.8273766338433
106,-44.8210715709712
108,-43.1334738829627
110,-42.4258707237983
112,-43.8797200758579
114,-46.1246028676342
116,-45.7641370050909
118,-44.4058980750535
120,-43.9045039316255
122,-43.5331132864885
124,-43.1833468737131
126,-43.5324931334466
128,-43.7714521977541
130,-42.9334158647091
132,-42.8572588476698
134,-44.1124042407692
136,-44.2675607480326
138,-41.6051115635212
140,-38.5348503572015
142,-36.890901492514
144,-36.7316815381818
146,-37.1034220439628
148,-36.8359751102105
150,-35.8259755013838
152,-35.3890799901829
154,-36.7568880959912
156,-40.1611261465592
158,-42.4455744050622
160,-40.7911431754368
162,-38.9815721206995
164,-38.1331106050353
166,-38.7236894021676
168,-40.9527881674068
170,-44.3272103276889
172,-46.5368034722635
174,-45.9028205712824
176,-45.2329130967576
178,-46.5193681916966
180,-50.3548667205606
182,-51.4742553890504
184,-48.8682286531108
186,-48.9428929022274
188,-51.3654548604463
190,-56.5657822518458
192,-55.7676085173942
194,-46.3656250283123
196,-42.4244709198276
198,-41.0325819714626
200,-40.1161623249177
202,-38.9173348545216
204,-38.1692273016537
206,-37.5987162994042
208,-36.7860232356448
210,-36.2665883010022
212,-36.4330271162258
214,-37.4442942216593
216,-39.2648866554523
218,-41.3209854171116
220,-43.280017167901
222,-44.208487431628
224,-43.4526520426952
226,-42.8706513606375
228,-42.8587354122127
230,-44.2539885479364
232,-48.5424524624135
234,-55.166922529207
236,-53.7155503859063
238,-48.9914807118395
240,-46.5856071329143
242,-47.0543277275821
244,-48.7223160597686
246,-48.9321462021739
248,-49.4306716492117
250,-51.004767057412
252,-51.119987769504
254,-50.1726944984355
256,-50.5056238085618
258,-51.9086901048891
260,-50.0105378307787
262,-46.8666449443811
264,-46.0819448227853
266,-46.6141732286038
268,-43.9349351362383
270,-40.6368711485277
272,-39.2899371849802
274,-38.9862247501056
276,-37.7068268559845
278,-36.0248804636993
280,-35.3227064372983
282,-34.7739312522015
284,-33.2235576416411
286,-31.7023514821214
288,-30.5192347513148
290,-28.9690544956041
292,-27.3886546075434
294,-26.3053946308221
296,-25.6122291696161
298,-25.2877294253909
300,-25.3208821634032
302,-25.1195994067918
304,-24.3754218805459
306,-23.7301815035369
308,-23.7041774104579
310,-24.2423192304871
312,-24.6618207787869
314,-24.3839336818621
316,-23.8735187733994
318,-23.5698683715503
320,-23.2841169887903
322,-22.7553559627336
324,-22.0985897807277
326,-21.5193275599022
328,-21.1290328187978
330,-20.9992306412197
332,-21.0514999078147
334,-21.1493060667933
336,-21.3319542311009
338,-21.6493113575217
340,-21.9369402350689
342,-21.9857258083944
344,-21.8137522610986
346,-21.5819844082279
348,-21.3509790396342
350,-21.083782576182
352,-20.7967144858518
354,-20.5579349924463
356,-20.3750806151807
358,-20.1788694836117
360,-19.909108975154
