"Freq [GHz]","RadiationEfficiency []"
0.1,0.0272856105383908
0.11,0.0275723631236453
0.12,0.0275410232797416
0.13,0.0272480334939469
0.14,0.0267480654896448
0.15,0.0260924926050345
0.16,0.0253284801878882
0.17,0.0244985535662023
0.18,0.0236405016984898
0.19,0.0227875102824846
0.2,0.0219684338040018
0.21,0.0212081441390674
0.22,0.0205279108843075
0.23,0.0199457840363901
0.24,0.019476957405324
0.25,0.0191341073640635
0.26,0.0189276959965413
0.27,0.0188662428012044
0.28,0.0189565613753839
0.29,0.0192039659291107
0.3,0.0196124504948971
0.31,0.0201848420393975
0.32,0.0209229336883682
0.33,0.0218275981353096
0.34,0.0228988855739032
0.35,0.0241361089291347
0.36,0.025537917604905
0.37,0.0271023615317371
0.38,0.0288269477948309
0.39,0.0307086922115655
0.4,0.0327441632787146
0.41,0.0349295237546719
0.42,0.0372605687954534
0.43,0.0397327600362571
0.44,0.0423412591393387
0.45,0.0450809576788489
0.46,0.0479465074317278
0.47,0.0509323472431716
0.48,0.0540327313637008
0.49,0.0572417549541429
0.5,0.0605533784397977
0.51,0.06396145385121
0.52,0.0674597478496085
0.53,0.0710419624029791
0.54,0.074701762129847
0.55,0.0784327920465223
0.56,0.0822286986431322
0.57,0.0860831509742479
0.58,0.0899898603597121
0.59,0.0939425962643607
0.6,0.0979352063279428
0.61,0.101961629994394
0.62,0.106015914750504
0.63,0.110092233537263
0.64,0.114184890277375
0.65,0.118288340544166
0.66,0.122397196661541
0.67,0.126506238185739
0.68,0.130610423739461
0.69,0.134704894336695
0.7,0.138784982447519
0.71,0.142846219135585
0.72,0.146884332063921
0.73,0.150895255315033
0.74,0.154875130851247
0.75,0.158820303287619
0.76,0.162727331046957
0.77,0.166592977436418
0.78,0.170414213533786
0.79,0.174188217370823
0.8,0.177912366445455
0.81,0.181584240989112
0.82,0.185201616082578
0.83,0.188762459106254
0.84,0.192264926298035
0.85,0.19570735341636
0.86,0.199088255355366
0.87,0.202406320500833
0.88,0.205660398649285
0.89,0.20884950525042
0.9,0.211972802830289
0.91,0.215029604887247
0.92,0.218019365622649
0.93,0.220941673610479
0.94,0.223796244238379
0.95,0.226582916833852
0.96,0.229301641168383
0.97,0.231952481967925
0.98,0.234535601246744
0.99,0.237051263193929
1,0.23949981419701
1.01,0.241881697136876
1.02,0.244197424822063
1.03,0.246447582891596
1.04,0.248632832944139
1.05,0.250753897959281
1.06,0.252811550250737
1.07,0.25480662679095
1.08,0.256740012871725
1.09,0.25861262977666
1.1,0.260425444290336
1.11,0.262179466382289
1.12,0.263875731247563
1.13,0.265515301984434
1.14,0.267099278534097
1.15,0.2686287712514
1.16,0.270104923559758
1.17,0.271528883915707
1.18,0.272901825083108
1.19,0.274224926702715
1.2,0.275499386314635
1.21,0.276726400973787
1.22,0.2779071823006
1.23,0.279042939580796
1.24,0.280134892311649
1.25,0.281184258353924
1.26,0.282192256597499
1.27,0.283160109749865
1.28,0.284089036771294
1.29,0.284980258302999
1.3,0.285834989207198
1.31,0.286654450361877
1.32,0.287439861855618
1.33,0.288192445781733
1.34,0.288913442961583
1.35,0.289604108645995
1.36,0.290265748040446
1.37,0.290899744470866
1.38,0.291507604263654
1.39,0.292090747363573
1.4,0.292648436628673
1.41,0.29317377647098
1.42,0.293671106968969
1.43,0.294152884284158
1.44,0.294618264985083
1.45,0.295065824488763
1.46,0.295495791371467
1.47,0.295909002733794
1.48,0.296306488711428
1.49,0.296689334656204
1.5,0.297058642709064
1.51,0.297415519891416
1.52,0.297761076055756
1.53,0.298096420499522
1.54,0.298422666206689
1.55,0.298740923563674
1.56,0.299052307070908
1.57,0.29935793372399
1.58,0.299658926711314
1.59,0.299956408365633
1.6,0.30025151548665
1.61,0.300545387788109
1.62,0.300839172297048
1.63,0.301134024301662
1.64,0.301431114479533
1.65,0.301731621671774
1.66,0.302036733651521
1.67,0.302347658282712
1.68,0.30266561716702
1.69,0.30299184325286
1.7,0.303327590484874
1.71,0.303674132717916
1.72,0.304032758742534
1.73,0.304404782855341
1.74,0.304791538243779
1.75,0.305194383401317
1.76,0.30561470107333
1.77,0.306053901231878
1.78,0.306513419383591
1.79,0.306994722670564
1.8,0.307499308901717
1.81,0.308028702831796
1.82,0.308584467483576
1.83,0.309168202716671
1.84,0.30978153484751
1.85,0.310426139621028
1.86,0.311103724237546
1.87,0.31181603882169
1.88,0.312564876017983
1.89,0.313352068803098
1.9,0.314179501687909
1.91,0.315049094387512
1.92,0.315962828618237
1.93,0.316922719623311
1.94,0.317930841423697
1.95,0.318989314438468
1.96,0.320100310470369
1.97,0.321266050427563
1.98,0.322488812720893
1.99,0.323770919021369
2,0.325114750158509
2.01,0.326522730637127
2.02,0.327997340454246
2.03,0.329541096633802
2.04,0.331156573952923
2.05,0.332846373376771
2.06,0.334613150608629
2.07,0.33645957786799
2.08,0.338388371809266
2.09,0.340402244356013
2.1,0.342503945654444
2.11,0.344696210935735
2.12,0.346981764910427
2.13,0.3493633133848
2.14,0.351843517597706
2.15,0.354424980720497
2.16,0.357110224789771
2.17,0.359901664941454
2.18,0.362801579324699
2.19,0.365812082305907
2.2,0.368935080103635
2.21,0.372172234209437
2.22,0.375524905118105
2.23,0.378994109211792
2.24,0.382580436223586
2.25,0.386284010816923
2.26,0.390104375304209
2.27,0.394040431476303
2.28,0.398090321577455
2.29,0.40225132206579
2.3,0.406519717879266
2.31,0.41089065720777
2.32,0.415357996109787
2.33,0.419914121700467
2.34,0.424549754057284
2.35,0.429253726313518
2.36,0.434012750657198
2.37,0.438811139387273
2.38,0.443630511968499
2.39,0.448449463962502
2.4,0.453243220144188
2.41,0.457983216606166
2.42,0.462636687508482
2.43,0.467166175776366
2.44,0.471529037478663
2.45,0.475676876115166
2.46,0.479554968038424
2.47,0.483101630816723
2.48,0.486247595983631
2.49,0.488915349472701
2.5,0.491018527845408
2.51,0.492461339930827
2.52,0.493138144505555
2.53,0.492933197294029
2.54,0.491720768390063
2.55,0.489365711964878
2.56,0.485724768155675
2.57,0.480648867910075
2.58,0.473986767640085
2.59,0.46559048137125
2.6,0.45532290476821
2.61,0.443068099119402
2.62,0.428744476135745
2.63,0.412320837176632
2.64,0.393834692953234
2.65,0.373411337988995
2.66,0.35128128873553
2.67,0.327792399849123
2.68,0.30341239588987
2.69,0.278717525103866
2.7,0.254364613645087
2.71,0.231046679892141
2.72,0.209436392395309
2.73,0.190125604067312
2.74,0.173571466330676
2.75,0.160059060123695
2.76,0.149686863892685
2.77,0.142376047943006
2.78,0.137899321709652
2.79,0.135921717464012
2.8,0.136044883776532
2.81,0.137847886416583
2.82,0.140920067561485
2.83,0.144884197670104
2.84,0.149410257064206
2.85,0.154221408282616
2.86,0.159094202945864
2.87,0.163855021714632
2.88,0.168374401473028
2.89,0.172560462409572
2.9,0.176352252718343
2.91,0.179713427423913
2.92,0.182626442234436
2.93,0.185087392196142
2.94,0.187102116492432
2.95,0.188684707391175
2.96,0.189857658791677
2.97,0.190649851270625
2.98,0.191092060997276
2.99,0.191214042059527
3,0.191044096103448
3.01,0.190609355189251
3.02,0.18993587025651
3.03,0.189048504108283
3.04,0.187970777624643
3.05,0.186724759156447
3.06,0.185330999062617
3.07,0.183808522371205
3.08,0.182174846235601
3.09,0.180446036257456
3.1,0.178636765892082
3.11,0.176760399580805
3.12,0.17482907295386
3.13,0.172853778903845
3.14,0.170844455071729
3.15,0.168810063843306
3.16,0.166758678253009
3.17,0.164697552567832
3.18,0.162633201621618
3.19,0.160571461126354
3.2,0.158517557406875
3.21,0.156476163768917
3.22,0.154451455016544
3.23,0.152447156363479
3.24,0.150466591602927
3.25,0.148512723709233
3.26,0.146588194699348
3.27,0.144695360905454
3.28,0.142836324977747
3.29,0.141012966081647
3.3,0.139226966698942
3.31,0.137479838152123
3.32,0.135772942804398
3.33,0.134107516262724
3.34,0.132484685676534
3.35,0.130905487503939
3.36,0.129370883859841
3.37,0.127881781500552
3.38,0.126439040279152
3.39,0.125043489152109
3.4,0.123695941966913
3.41,0.122397204841934
3.42,0.121148089518534
3.43,0.119949424259685
3.44,0.118802064370919
3.45,0.117706901849192
3.46,0.116664874166542
3.47,0.11567697587148
3.48,0.114744265203335
3.49,0.113867874548808
3.5,0.113049016366069
3.51,0.112288993381377
3.52,0.111589203872106
3.53,0.110951149672258
3.54,0.110376439478069
3.55,0.109866797974637
3.56,0.109424062353054
3.57,0.109050191836681
3.58,0.108747262764464
3.59,0.108517468369684
3.6,0.108363115338297
3.61,0.108286614278476
3.62,0.108290471988955
3.63,0.108377276353849
3.64,0.108549677011111
3.65,0.108810364850743
3.66,0.109162044122418
3.67,0.109607399143845
3.68,0.110149059797796
3.69,0.11078955471554
3.7,0.111531269554348
3.71,0.112376390821116
3.72,0.113326854057351
3.73,0.114384283709103
3.74,0.115549935471193
3.75,0.116824637142774
3.76,0.118208731857037
3.77,0.119702025982478
3.78,0.121303743594045
3.79,0.123012487149814
3.8,0.124826215056295
3.81,0.126742226487063
3.82,0.128757163166935
3.83,0.13086702850967
3.84,0.133067218698785
3.85,0.135352578221475
3.86,0.137717460649418
3.87,0.140155812282341
3.88,0.142661260357472
3.89,0.145227216063944
3.9,0.147846976013139
3.91,0.150513832619082
3.92,0.153221174684592
3.93,0.155962589893499
3.94,0.15873195471691
3.95,0.161523512586877
3.96,0.164331943918221
3.97,0.167152415361825
3.98,0.169980619993856
3.99,0.172812801543045
4,0.175645761459454
4.01,0.178476857557485
4.02,0.181303988955058
4.03,0.184125573017342
4.04,0.186940513102019
4.05,0.189748159901147
4.06,0.192548272953936
4.07,0.195340973113358
4.08,0.19812670213542
4.09,0.200906174640336
4.1,0.203680336218237
4.11,0.206450325100433
4.12,0.209217434861411
4.13,0.211983079398248
4.14,0.214748768999557
4.15,0.217516073407543
4.16,0.220286583917512
4.17,0.223061863337159
4.18,0.225843417510036
4.19,0.228632725057527
4.2,0.231431250468238
4.21,0.234240443368801
4.22,0.237061707768512
4.23,0.239896381250978
4.24,0.242745726474318
4.25,0.245610925222487
4.26,0.248493084495504
4.27,0.25139322742408
4.28,0.254312300198838
4.29,0.257251170689597
4.3,0.260210628584118
4.31,0.263191393926761
4.32,0.266194109071775
4.33,0.269219348825651
4.34,0.272267619027533
4.35,0.275339361693638
4.36,0.278434956437068
4.37,0.281554723113974
4.38,0.28469892538897
4.39,0.287867771578517
4.4,0.291061424334382
4.41,0.29427998850108
4.42,0.297523533163158
4.43,0.300792080789965
4.44,0.304085613119754
4.45,0.307404071428418
4.46,0.3107473693101
4.47,0.314115383304876
4.48,0.317507957812899
4.49,0.320924913342438
4.5,0.324366042811636
